,Topic,Probability,created_at,date,week_start
1177,Topic 0,0,Thu Dec 31 14:27:36 +0000 2020,12/31/20,12/27/20
1178,Topic 0,0,Thu Dec 31 11:07:38 +0000 2020,12/31/20,12/27/20
1179,Topic 0,0,Thu Dec 31 09:30:15 +0000 2020,12/31/20,12/27/20
1180,Topic 0,0,Thu Dec 31 08:23:06 +0000 2020,12/31/20,12/27/20
1181,Topic 0,0,Thu Dec 31 07:55:44 +0000 2020,12/31/20,12/27/20
1182,Topic 0,0,Thu Dec 31 06:31:23 +0000 2020,12/31/20,12/27/20
1183,Topic 0,0,Thu Dec 31 06:04:55 +0000 2020,12/31/20,12/27/20
1184,Topic 0,0,Thu Dec 31 05:45:39 +0000 2020,12/31/20,12/27/20
1185,Topic 0,0,Thu Dec 31 04:26:02 +0000 2020,12/31/20,12/27/20
1186,Topic 0,0,Wed Dec 30 21:19:46 +0000 2020,12/30/20,12/27/20
1187,Topic 0,0,Thu Dec 31 04:10:28 +0000 2020,12/31/20,12/27/20
1188,Topic 0,0,Thu Dec 31 23:57:08 +0000 2020,12/31/20,12/27/20
1189,Topic 0,0,Thu Dec 31 23:39:26 +0000 2020,12/31/20,12/27/20
1190,Topic 0,0,Thu Dec 31 23:25:22 +0000 2020,12/31/20,12/27/20
1191,Topic 0,0,Thu Dec 31 22:20:47 +0000 2020,12/31/20,12/27/20
1192,Topic 0,0,Thu Dec 31 21:53:26 +0000 2020,12/31/20,12/27/20
1193,Topic 0,0,Thu Dec 31 21:12:00 +0000 2020,12/31/20,12/27/20
1194,Topic 0,0,Thu Dec 31 20:39:42 +0000 2020,12/31/20,12/27/20
1195,Topic 0,0,Thu Dec 31 20:20:43 +0000 2020,12/31/20,12/27/20
1196,Topic 0,0,Thu Dec 31 20:06:45 +0000 2020,12/31/20,12/27/20
1197,Topic 0,0,Thu Dec 31 19:49:01 +0000 2020,12/31/20,12/27/20
1198,Topic 0,0,Wed Dec 30 21:19:15 +0000 2020,12/30/20,12/27/20
1199,Topic 0,0,Wed Dec 30 22:49:14 +0000 2020,12/30/20,12/27/20
1200,Topic 0,0,Wed Dec 30 00:56:47 +0000 2020,12/30/20,12/27/20
1201,Topic 0,0,Wed Dec 30 08:44:33 +0000 2020,12/30/20,12/27/20
1202,Topic 0,0,Wed Dec 30 00:16:20 +0000 2020,12/30/20,12/27/20
1203,Topic 0,0,Wed Dec 30 16:04:26 +0000 2020,12/30/20,12/27/20
1204,Topic 0,0,Wed Dec 30 14:23:14 +0000 2020,12/30/20,12/27/20
1205,Topic 0,0,Wed Dec 30 13:27:39 +0000 2020,12/30/20,12/27/20
1206,Topic 0,0,Wed Dec 30 11:38:54 +0000 2020,12/30/20,12/27/20
1207,Topic 0,0,Wed Dec 30 11:13:45 +0000 2020,12/30/20,12/27/20
1208,Topic 0,0,Wed Dec 30 10:01:39 +0000 2020,12/30/20,12/27/20
1209,Topic 0,0,Wed Dec 30 09:44:20 +0000 2020,12/30/20,12/27/20
1210,Topic 0,0,Wed Dec 30 09:26:25 +0000 2020,12/30/20,12/27/20
1211,Topic 0,0,Wed Dec 30 08:46:07 +0000 2020,12/30/20,12/27/20
1212,Topic 0,0,Wed Dec 30 08:45:35 +0000 2020,12/30/20,12/27/20
1213,Topic 0,0,Wed Dec 30 08:44:18 +0000 2020,12/30/20,12/27/20
1214,Topic 0,0,Thu Dec 31 01:58:08 +0000 2020,12/31/20,12/27/20
1215,Topic 0,0,Wed Dec 30 20:41:30 +0000 2020,12/30/20,12/27/20
1216,Topic 0,0,Wed Dec 30 19:46:32 +0000 2020,12/30/20,12/27/20
1217,Topic 0,0,Wed Dec 30 19:30:00 +0000 2020,12/30/20,12/27/20
1218,Topic 0,0,Wed Dec 30 17:56:45 +0000 2020,12/30/20,12/27/20
1219,Topic 0,0,Wed Dec 30 17:40:57 +0000 2020,12/30/20,12/27/20
1220,Topic 0,0,Wed Dec 30 17:17:12 +0000 2020,12/30/20,12/27/20
1221,Topic 0,0,Wed Dec 30 16:42:35 +0000 2020,12/30/20,12/27/20
1222,Topic 0,0,Wed Dec 30 16:38:56 +0000 2020,12/30/20,12/27/20
1223,Topic 0,0,Wed Dec 30 16:36:29 +0000 2020,12/30/20,12/27/20
1224,Topic 0,0,Thu Dec 31 03:08:33 +0000 2020,12/31/20,12/27/20
1225,Topic 0,0,Thu Dec 31 02:37:52 +0000 2020,12/31/20,12/27/20
1226,Topic 0,0,Sun Dec 27 15:55:15 +0000 2020,12/27/20,12/27/20
1227,Topic 0,0,Sun Dec 27 17:36:51 +0000 2020,12/27/20,12/27/20
1228,Topic 0,0,Sun Dec 27 18:17:44 +0000 2020,12/27/20,12/27/20
1229,Topic 0,0,Wed Dec 23 15:19:54 +0000 2020,12/23/20,12/20/20
1230,Topic 0,0,Wed Jan 06 19:43:25 +0000 2021,1/6/21,1/3/21
1231,Topic 0,0,Wed Jan 06 19:43:02 +0000 2021,1/6/21,1/3/21
1232,Topic 0,0,Wed Jan 06 23:59:49 +0000 2021,1/6/21,1/3/21
1233,Topic 0,0,Wed Jan 06 23:52:23 +0000 2021,1/6/21,1/3/21
1234,Topic 0,0,Wed Jan 06 23:46:57 +0000 2021,1/6/21,1/3/21
1235,Topic 0,0,Wed Jan 06 23:44:58 +0000 2021,1/6/21,1/3/21
1236,Topic 0,0,Wed Jan 06 23:39:40 +0000 2021,1/6/21,1/3/21
1237,Topic 0,0,Wed Jan 06 23:37:26 +0000 2021,1/6/21,1/3/21
1238,Topic 0,0,Wed Jan 06 23:37:15 +0000 2021,1/6/21,1/3/21
1239,Topic 0,0,Wed Jan 06 23:34:08 +0000 2021,1/6/21,1/3/21
1240,Topic 0,0,Wed Jan 06 23:33:59 +0000 2021,1/6/21,1/3/21
1241,Topic 0,0,Wed Dec 23 14:51:38 +0000 2020,12/23/20,12/20/20
1242,Topic 0,0,Wed Jan 06 22:36:49 +0000 2021,1/6/21,1/3/21
1243,Topic 0,0,Thu Dec 24 18:52:43 +0000 2020,12/24/20,12/20/20
1244,Topic 0,0,Thu Dec 24 17:07:51 +0000 2020,12/24/20,12/20/20
1245,Topic 0,0,Thu Dec 24 16:26:47 +0000 2020,12/24/20,12/20/20
1246,Topic 0,0,Thu Dec 24 15:52:04 +0000 2020,12/24/20,12/20/20
1247,Topic 0,0,Thu Dec 24 15:48:30 +0000 2020,12/24/20,12/20/20
1248,Topic 0,0,Thu Dec 24 15:03:30 +0000 2020,12/24/20,12/20/20
1249,Topic 0,0,Thu Dec 24 14:29:58 +0000 2020,12/24/20,12/20/20
1250,Topic 0,0,Thu Dec 24 13:40:33 +0000 2020,12/24/20,12/20/20
1251,Topic 0,0,Thu Dec 24 13:38:25 +0000 2020,12/24/20,12/20/20
1252,Topic 0,0,Thu Dec 24 13:20:23 +0000 2020,12/24/20,12/20/20
1253,Topic 0,0,Thu Dec 24 13:08:45 +0000 2020,12/24/20,12/20/20
1254,Topic 0,0,Wed Jan 06 20:01:08 +0000 2021,1/6/21,1/3/21
1255,Topic 0,0,Wed Jan 06 22:57:55 +0000 2021,1/6/21,1/3/21
1256,Topic 0,0,Sun Dec 27 20:17:39 +0000 2020,12/27/20,12/27/20
1257,Topic 0,0,Wed Jan 06 18:49:50 +0000 2021,1/6/21,1/3/21
1258,Topic 0,0,Wed Jan 06 10:38:19 +0000 2021,1/6/21,1/3/21
1259,Topic 0,0,Wed Jan 06 10:20:20 +0000 2021,1/6/21,1/3/21
1260,Topic 0,0,Wed Jan 06 16:52:04 +0000 2021,1/6/21,1/3/21
1261,Topic 0,0,Wed Jan 06 16:28:56 +0000 2021,1/6/21,1/3/21
1262,Topic 0,0,Wed Jan 06 16:13:46 +0000 2021,1/6/21,1/3/21
1263,Topic 0,0,Wed Jan 06 15:44:46 +0000 2021,1/6/21,1/3/21
1264,Topic 0,0,Wed Jan 06 15:38:27 +0000 2021,1/6/21,1/3/21
1265,Topic 0,0,Wed Jan 06 15:03:55 +0000 2021,1/6/21,1/3/21
1266,Topic 0,0,Wed Jan 06 15:01:15 +0000 2021,1/6/21,1/3/21
1267,Topic 0,0,Wed Jan 06 14:55:45 +0000 2021,1/6/21,1/3/21
1268,Topic 0,0,Wed Jan 06 18:52:38 +0000 2021,1/6/21,1/3/21
1269,Topic 0,0,Wed Jan 06 18:48:02 +0000 2021,1/6/21,1/3/21
1270,Topic 0,0,Wed Jan 06 23:07:41 +0000 2021,1/6/21,1/3/21
